,MOSA_outofsample,method,corr
492,In-sample,MOSA_corr,0.7941265528761002
493,In-sample,MOSA_corr,0.8361506366851374
494,In-sample,MOSA_corr,0.697518109272034
495,In-sample,MOSA_corr,0.6512030465262046
496,In-sample,MOSA_corr,0.7589164625640097
497,In-sample,MOSA_corr,0.7650013884264033
498,In-sample,MOSA_corr,0.706087534370627
499,In-sample,MOSA_corr,0.86581848924228
500,In-sample,MOSA_corr,0.6102744881166648
501,In-sample,MOSA_corr,0.8714185082787324
502,In-sample,MOSA_corr,0.7797554324320105
503,In-sample,MOSA_corr,0.8384909876028528
504,In-sample,MOSA_corr,-0.1488179686764645
505,In-sample,MOSA_corr,0.7792583133403383
506,In-sample,MOSA_corr,0.7916986793081215
507,In-sample,MOSA_corr,0.8306323639614107
508,In-sample,MOSA_corr,0.7122941641846514
509,In-sample,MOSA_corr,0.4478325839632492
510,In-sample,MOSA_corr,0.8307792695493594
511,In-sample,MOSA_corr,0.7207787609348593
512,In-sample,MOSA_corr,0.714650762057399
513,In-sample,MOSA_corr,0.8482254264904752
514,Out-of-sample,MOSA_corr,0.6669926242613763
515,In-sample,MOSA_corr,0.6455428764921234
516,In-sample,MOSA_corr,0.5932552444393606
517,In-sample,MOSA_corr,0.667372290460325
518,In-sample,MOSA_corr,0.7954600776826937
519,In-sample,MOSA_corr,0.6702187881745312
520,In-sample,MOSA_corr,0.5606778184919974
521,In-sample,MOSA_corr,0.7017730642280935
522,In-sample,MOSA_corr,0.6434395359270756
523,In-sample,MOSA_corr,0.3271978328996366
524,In-sample,MOSA_corr,0.614005182450061
525,In-sample,MOSA_corr,0.7650492524073347
526,In-sample,MOSA_corr,0.6552478321444859
527,In-sample,MOSA_corr,0.8513888253321358
528,In-sample,MOSA_corr,0.48034168627321044
529,In-sample,MOSA_corr,0.850305515700474
530,In-sample,MOSA_corr,0.6893213831035576
531,In-sample,MOSA_corr,0.643791771428577
532,In-sample,MOSA_corr,0.8226091782595043
533,In-sample,MOSA_corr,0.7581540075208886
534,In-sample,MOSA_corr,0.6807302946001503
535,In-sample,MOSA_corr,0.6392162133113264
536,In-sample,MOSA_corr,0.6570204472236962
537,In-sample,MOSA_corr,0.7114149007753711
538,In-sample,MOSA_corr,0.5684539696041407
539,In-sample,MOSA_corr,0.7244521886000375
540,In-sample,MOSA_corr,0.6831087934316403
541,In-sample,MOSA_corr,0.6603346584406705
542,In-sample,MOSA_corr,0.5326364456820818
543,In-sample,MOSA_corr,0.7094120217761692
544,In-sample,MOSA_corr,0.6780113198668014
545,Out-of-sample,MOSA_corr,0.6515459861697537
546,In-sample,MOSA_corr,0.7120180737069377
547,In-sample,MOSA_corr,0.6389041429518028
548,In-sample,MOSA_corr,0.7367523385648159
549,In-sample,MOSA_corr,0.5971919859380619
550,In-sample,MOSA_corr,0.6683655507837857
551,In-sample,MOSA_corr,0.5703722482514133
552,In-sample,MOSA_corr,0.560299434512498
553,In-sample,MOSA_corr,0.920884057380416
554,In-sample,MOSA_corr,0.7329782378954295
555,In-sample,MOSA_corr,0.6847604982612896
556,In-sample,MOSA_corr,0.6198330803926004
557,In-sample,MOSA_corr,0.7240326234690393
558,In-sample,MOSA_corr,0.6630549321348055
559,In-sample,MOSA_corr,0.5315387215914084
560,In-sample,MOSA_corr,0.6868439565382252
561,In-sample,MOSA_corr,0.6342636493018802
562,In-sample,MOSA_corr,0.8248169797193594
563,In-sample,MOSA_corr,0.7048559287862279
564,In-sample,MOSA_corr,0.6646890865065574
565,In-sample,MOSA_corr,0.8082388754343685
566,In-sample,MOSA_corr,0.7416260527104507
567,In-sample,MOSA_corr,0.753872371521805
568,In-sample,MOSA_corr,0.8090612604529004
569,In-sample,MOSA_corr,0.7172019198866919
570,In-sample,MOSA_corr,0.7274026613326148
571,In-sample,MOSA_corr,0.7762394844203508
572,In-sample,MOSA_corr,0.7571807072640676
