y_id,x_id,n_orig,beta_orig,lr_orig,covs_orig,pval_orig,fdr_orig,n_vae,beta_vae,lr_vae,covs_vae,pval_vae,fdr_vae,log10p_orig,log10p_vae,diff_log10p
SOX10,PRDM1,706.0,0.0389802023163379,7.200370437513811,16.0,0.0072888533814268,0.5042860055607061,1523.0,0.0585758306706869,39.53645612202945,19.0,3.2199186268316474e-10,6.041640650145114e-07,2.1373407857129285,9.49215510357266,7.354814317859732
FBXW11,SSX4,706.0,0.046944154847474,6.450046425541132,16.0,0.0110949443042797,0.8958955576491469,1523.0,0.0523210098460458,38.64887935675506,19.0,5.073237740121279e-10,1.427862761957134e-06,1.9548748735495667,9.294714785464274,7.339839911914707
UBE2D3,LCK,706.0,0.0410955089597635,3.304028436301678,16.0,0.0691102019308014,0.5068329939495395,1523.0,0.0732397428612401,34.964982543168844,19.0,3.356883918486177e-09,1.3497071126541925e-06,1.160457838078569,8.474063676456053,7.313605838377484
ELMO2,RASA1,706.0,-0.0414436539494502,8.321729619448433,16.0,0.0039173601542037,0.2132481942171305,1523.0,-0.0528318723338118,40.51602082330192,19.0,1.9501049737724852e-10,1.178857699684185e-07,2.407006498456491,9.709942010020521,7.30293551156403
CCND1,ESR1,706.0,0.0720926665444849,4.8284449566897365,16.0,0.0279938690122424,0.5076882232866731,1523.0,0.1154286959980734,36.67631078750628,19.0,1.3946393004565107e-09,2.616808207423233e-06,1.5529370738615953,8.855538100689317,7.302601026827722
STX4,BRIP1,706.0,0.0334529177118789,3.5223179055224136,16.0,0.0605477143749828,0.5805695555621267,1523.0,0.0616384552899162,35.16852419726638,19.0,3.023714299069022e-09,1.8911653099399472e-06,1.2179022464609452,8.519459246305583,7.301556999844638
EFR3A,LPAR4,706.0,-0.0376775767931172,4.611000369018257,16.0,0.0317674962878601,0.9550696250560756,1523.0,-0.0594703585588185,36.37287631484924,19.0,1.6295526812793134e-09,8.346682219013984e-06,1.4980170121547365,8.787931594806647,7.28991458265191
E2F3,CSF3R,706.0,-0.0423316526703605,8.485330113678174,16.0,0.0035802160936611,0.1961365517298035,1523.0,-0.052045392654382,40.489716576151295,19.0,1.9765357642439864e-10,1.62888346708676e-07,2.4460907595426344,9.70409532294849,7.258004563405855
PPP1R15B,CRLF2,706.0,-0.0470977863686694,3.016972155490976,16.0,0.0823971729904533,0.9745630039588716,1523.0,-0.0610000531157695,34.193024075677386,19.0,4.9907537741059265e-09,1.0925351624688228e-06,1.0840876884935158,8.301833856137673,7.217746167644157
BRAF,EP300,706.0,-0.0325687644542845,5.741184028166572,16.0,0.0165716177165578,0.5354431418867495,1523.0,-0.0529433605516866,37.17589082823452,19.0,1.0794005661903354e-09,6.75105087453933e-07,1.7806350938087196,8.966817358465288,7.186182264656569
SOX10,PATZ1,706.0,-0.0235429651080902,2.2632214833156468,16.0,0.1324782226880998,0.701225005162294,1523.0,-0.0595034399108895,33.10930299059146,19.0,8.712088653662183e-09,8.173391171910738e-06,0.8778555069626413,8.059877713876663,7.182022206914022
TUBB4B,TSC1,706.0,-0.0484094278326141,10.5155893362421,16.0,0.0011837167453513,0.3465355181452634,1523.0,-0.0553243125810671,42.29802101250334,19.0,7.837182373585997e-11,1.1028874895228897e-07,2.9267522086334794,10.10584004695155,7.179087838318072
CCND1,LATS1,706.0,0.0683610744398586,4.457862688219393,16.0,0.0347409403359515,0.5673404711567088,1523.0,0.1113732270931495,35.64002177608336,19.0,2.373605705293155e-09,2.672205303019034e-06,1.4591584306445922,8.624591422802457,7.165432992157864
EAF1,RASA1,706.0,-0.0443156468629994,8.794392377709755,16.0,0.0030215786582947,0.1983471375590951,1523.0,-0.0553671849650414,40.37668143350038,19.0,2.0942577716897936e-10,1.178857699684185e-07,2.519766095634059,9.678969864236652,7.159203768602593
CCND1,EZR,706.0,0.0650191022135553,3.662347591875687,16.0,0.0556551621219675,0.6822609358727124,1523.0,0.1146712456477372,34.551570669008015,19.0,4.151064583175325e-09,3.8943904231156505e-06,1.2544945478232026,8.381840509719897,7.127345961896694
